Id,linkId,AverageSpeed
1,4616337,14.83138085
2,4616325,23.16505929
3,4616324,15.59679587
4,4616338,15.63237409
5,4616323,16.64357389
6,4616279,#DIV/0!
7,4616280,#DIV/0!
8,4616281,51.17620171
9,4456502,33.34138085
10,4616344,#DIV/0!
11,4616345,#DIV/0!
12,4456501,35.01154533
13,4616246,52.02526584
14,4616260,47.02939436
15,4456479,27.73535637
16,4456478,39.06565982
17,4616342,29.64939564
18,4616257,24.93873645
19,4616339,26.31947979
20,4616340,13.45366186
21,4616235,26.08824302
22,4616229,40.13034043
23,4616232,28.89392834
24,4616271,25.68001785
25,4616252,49.20254367
26,4616266,46.66839602
27,4456497,42.37372052
28,4616305,49.74562285
29,4616312,48.65239832
30,4456496,41.54394492
31,4616355,46.53905776
32,4616356,45.24943262
33,4616357,26.08090909
34,4616310,29.18814739
35,4616309,30.3372944
36,4616297,51.1100867
37,4616253,54.33709513
38,4616267,35.98933818
39,4620315,7.5978125
40,4620332,32.73029457
41,4620331,32.91599286
42,4620310,36.33077924
43,4616351,52.73099222
44,4616320,35.02022064
45,4362247,47.86038308
46,4616352,53.27770055
47,4616350,53.31793521
48,4362250,56.04378778
49,4362244,49.54826043
50,4456450,36.67003954
51,4616329,30.83518684
52,4616328,37.13670323
53,4616333,42.90185308
54,4616332,41.52746588
55,4616341,22.58966968
56,4616334,#DIV/0!
57,4456495,#DIV/0!
58,4616318,34.18252519
59,4616220,46.2316656
60,4616223,25.24651448
61,4616226,51.40740084
62,4616319,45.34179569
63,4763657,43.98261064
64,4763655,42.3756598
65,4620298,39.17236577
66,4616250,57.42378778
67,4456498,40.65876929
68,4362342,35.78915525
69,4616365,42.76922331
70,4616364,43.85597118
71,4456516,42.21217064
72,4362249,41.13223823
73,4362251,44.58069251
74,4329473,30.57348552
75,4329472,25.62251052
76,4329508,28.96534536
77,4329507,30.00850529
78,4616353,50.64568933
79,4616354,50.29275858
80,4575278,#DIV/0!
81,4620330,29.50984186
82,4620314,26.45988777
83,4456477,38.09700166
84,4329499,14.52670058
85,4616196,47.48697488
86,4616210,49.74300982
87,4456511,22.69937253
88,4456510,23.75274525
89,4616282,29.74486113
90,4616193,55.88700421
91,4616192,#DIV/0!
92,4616195,54.0861561
93,4616197,48.41880755
94,4763650,47.83773881
95,4763648,47.41399184
96,4616194,54.76138248
97,4616216,35.49342941
98,4616217,33.93763074
99,4616199,57.18816988
100,4616208,48.15336182
101,4616206,42.52838858
102,4616211,55.14642775
103,4329480,#DIV/0!
104,4616209,57.33224334
105,4616225,39.05470348
106,4456476,35.23480423
107,4456481,39.7546716
108,4456452,29.47029205
109,4456505,45.33003061
110,4362314,32.68970286
111,4456506,46.89490051
112,4763656,50.15049235
113,4763652,43.07777806
114,4616218,46.67735332
115,4616219,43.09511224
116,4763651,50.12294898
117,4763649,46.79331029
118,4616205,44.41102934
119,4616204,42.4185023
120,4616298,34.57046678
121,4616299,50.19647621
122,4616300,27.31120393
123,4616276,41.13496875
124,4616272,44.18681673
125,4616259,31.06361178
126,4616241,47.59663946
127,4616213,58.2806886
128,4616214,58.71941086
129,4329481,#DIV/0!
130,4616215,55.27535323
131,4616212,61.98891609
132,4616198,57.96635552
133,4616202,62.81442999
134,4616203,55.73273655
135,4616200,50.60556108
136,4329483,52.6746659
137,4616201,57.23041066
138,4616335,#DIV/0!
139,4616343,#DIV/0!
140,4616327,#DIV/0!
141,4456494,15.71758067
142,4616326,#DIV/0!
143,4616336,#DIV/0!
144,4620343,40.95528376
145,4616346,42.04797066
146,4456500,46.0600625
147,4616239,21.76953699
148,4362252,44.84301315
149,4616228,#DIV/0!
150,4456483,48.93146173
151,4616261,47.27058546
152,4616247,52.02519898
153,4616255,29.61720791
